Tweet,Reply
 Your crate lost?, Nope 😂😂😂😂
You have my crate… of eggs you know. , Eiiiii bra
" Card reader, promotion 🤣", 🤣🤣🤣🤣🤣🤣🤣🤣 herh!
Living the handle. , Today you dey form oo
The kind of heat you need in this winter , Ayyyeee original African heater 🔥🔥🔥🔥
"If you are a leader, like this tweet. I will DM you to hear about your scariest moment and how you scaled in 240 ch… ","  But the way I bashed him after everything, I'm sure he didn't sleep for a week"
Threading responses to  Tweet Leader #1 Scary moment: Got comfortable leading from the sideline… ,  Scariest moments.... many of them but one I can talk about was to defend a team member on a client's job I had asked him not to do but still went ahead and the client returned it and copied all top management. Even though ma job was on the line but I had to defend him.
"If you are a leader, like this tweet. I will DM you to hear about your scariest moment and how you scaled in 240 ch… ", Being a leader is best and fun when your followers believe in you. When you are a person fit and the job (position) fit.
I will build  to 1m+ active users in 5 years time or less with a part-time team. Full autonomy and asyn… ,   The journal is yet to start.Testing 🎤
"If you are a leader, like this tweet. I will DM you to hear about your scariest moment and how you scaled in 240 ch… ","Threading responses to  Tweet Leader #1 Scary moment: Got comfortable leading from the sidelineSolution: I let go of the fear, trusted others, dared them to go for it and got energized by what we could create together."
🚀 We say Shay Shay Shay to Failure. All about Wins!😀 , Shay Shay Shay 😂
  I’m just kidding😂I don’t think Jason will insult me because I’m curious,"  No insult intended, I respect your views even if we disagree"
"    One of my questions was that “if the person is a freelancer, the… ","    It would depend on the role and the kind of experience required. Freelancing is not the same thing as someone changing full-time roles every few months, and I think some of the job hoppers are better off freelancing."
"    One of my questions was that “if the person is a freelancer, the… ", thank you for making my weekend a great one.
 AW) boss, Fra Kuntu 😂😂
   Of course. Speed up because I’m not slowing down to be the dumbest 😂,   Me neither. Then you’ll end up with a very smart team
 👀, All correct Sah!
Striving to be the dumbest at  I’m achieving that at  🤣  ,   Ah Jay😂😂
The kind of heat you need in this winter , 👀
I will build  to 1m+ active users in 5 years time or less with a part-time team. Full autonomy and asyn… ,   I dey believe in you so much
The kind of heat you need in this winter , Krakye adɛn 😂😂😂
 I no hear from you, Yh I will send a dm
You erhn , Still learning
"Most importantly, if you have 50%, go in by showing the skill. Build a slide deck full or a solution to the company… ",📌 
The kind of heat you need in this winter , Lolz
 😉 I no hear you, Haha😄
" It depends on the job level actually. At best, the recruiter has been sent with some requirements. They… ", That's great..Thanks for the feedback
I will build  to 1m+ active users in 5 years time or less with a part-time team. Full autonomy and asyn… ,   Can't wait to be the first to subscribe on that
"Caution: This may result in some level of burnoutAlso IMO, it’s dependent on the level and rarity of the role. I… ", What do you also think about meeting all the skills requirements but not meeting the yrs of experience
 😂 I get hair before, I see that thing 😂👍🏾.
Baldwin! , Fine boss 🥳🚀
"Caution: This may result in some level of burnoutAlso IMO, it’s dependent on the level and rarity of the role. I… ","Most importantly, if you have 50%, go in by showing the skill. Build a slide deck full or a solution to the company’s problem and fire to the hiring manager, not a recruiter. Your chances of a call is boosted with this."
   One word Chief😂,   What's my own 🤣 I'm connecting my people to business 😁
Adam on show. 24/7 , :)
Congratulations 🍾🎈🎉 Completely unrelated but your male version is  😂 ,  😂😂 how so  .. anyways thank you boss
   It could be a hidden problem because the best candidates may be in that po… ,"   Being tagged ""best"" is theoretical, at best, &amp; immaterial, in the main. The goal isn't to find the most talented, as talent means nothing without discipline or staying power. If the quality of  the &gt;2yr hires, yields the desired results, why add more needles to the haystack?"
   It could be a hidden problem because the best candidates may be in that po… ,   I like that you focused on “Best candidates”. This “hidden problem” may also be solved within the same constraints of time and cost. These are only my thoughts and it’s not my intention to choke Jason with it. We had an amazing dialogue and I enjoyed his engagement 😉
   Problem: a high turnover rate with professionals who have &lt; 2 years of exp… ,"   That's not HIS problem, though. He wants to find the best candidates, at the least cost, in as little time as possible.You however seem to seeking ways to convince him to expand his pool. Your objectives therefore do not align.You really should survey those candidates."
  I’m just kidding😂I don’t think Jason will insult me because I’m curious,  😂
  I guess I’m not sensible 😅I like that your decision was informed by your experience. I a… ,"  Ps, the statement is generic I think cus you made a sensible counterargument."
  I guess I’m not sensible 😅I like that your decision was informed by your experience. I a… ,"   Jason was clear &amp; unambiguous; The logic underpinning their decision is also very clear, &amp; sound. From experience, they ONLY take talent that have spent time elsewhere building &amp; maintaining stuff. If anyone wants to work for them, they should go drop anchor somewhere for =/&gt;2yrs"
😅 , Mafia oLol
Dem say 0 , It's the same people who will be confused when their financials show profit but their cash balance is different from the profit amount.
Dem say 0 ," How’s it zero???He’s made $10 twice!Assuming he borrowed the money each time, he’ll have $20 in his hand at the end of the day."
"  I understand the workload. Some1 may have done what you need in short, fragmented periods… ",  No sensible recruiter would label an experience requirement as bias. We have hired mid-level people without 2 years experience anywhere before. And the turnover rate among them is very high.Among the rest turnover is very low. Turnover rate is 🔑
Dem say 0 , In the end he makes $10🤣
  Well noted. I only feel such people should at least make it to a prescreening stage and ha… ,  With 20-100 applicants per role from across Africa and sometimes beyond we simply can’t spend any time on those without the required experience. Just not possible.
  Interesting. There are also people at associate level (1 step away from entry level) who c… ,"  For an entry level role perhaps. But roles requiring experience require experience building AND maintaining, experience committing a bit. And the person without that experience is competing against others who have it."
 Don’t mind them, And none of them are explaining oo. Everyone saying 20 is showing working. All the zero people just dey mention zero den bounce 🤣😂🤣😂
  Hmmmm. Does that mean you automatically screen out people on this criteria? Because there… ,"  Yes, for all but entry level roles we won’t look at a resume if they don’t meet this criteria. People can do whatever they feel they need to do but they simply don’t qualify for a role requiring experience at our company if they have never spent 2 years anywhere in their life."
Dem say 0 , Can only be zero of you ignore the first purchase for $60
Healthcare sen complexity  go tell you🤣 ," 😂😂😂 i feel attacked . To some extent it doesnt always have to be a disruption , just make existing mechanisms better"
Dem say 0 , Person just waste time dey buy goat dey resell 😒
 Babaaaa, I hail o
 😆, 😂😂
But stay kind to you 💗 ," Thank you, Sir.🙏🏾"
   😆 Jerry I no hear from you o,   yie 👀got off the call early last night
 liked this tweet  ,  i told you yesterday 😂that boy is a notorious fornicator😂😂😂you can ask 
🧐 , Give me money and watch me. Soon you will be able to 😆
Tanya is super cool. I won’t even lie,I just can’t
 Lol. Wild. I’m eager. Let me know what you find out when you question her please, I will do just that
Awesome story. I’m curious about how she overcame it. Could you share? ," Seriously, I don't know. I just saw her one day rather chasing after the dog. You should have seen the look on my face"
  🤗 Will be nice to learn more about your handbook. DM?,  Sure
"Can’t wait to see its fusion with a hardware (camera), installed in a fridge where it scans everything and takes yo… ", You want to give away our roadmap for free on the TL? Loool oga no be so naw 😭😭😭But yes! We have plans for object detection w/ cameras and integrating that into a few things. We can talk in the DM if you want.
It’s still available.The excitement in my face during my onboarding when I uploaded my CV and saw all the details… ,on 🤦🏾‍♂️
"Left it there because I’m able to identify with Old Boys of Accra Academy 😂IMO, I will advise that Ghanaians leav… ", 💯💯💯
Ala  de3 GodfatherGuys it’s pounds. Not Ghana Cedis 🙊 ,  Very true. That guy e rich man.
Ala  de3 GodfatherGuys it’s pounds. Not Ghana Cedis 🙊 , Aswear I’m blocking you 🤣🤣🤣
I hope this guy referenced the original post 😂 , Plagiarism come inside?
 Automator!!!😂, Let's goooo! 😂😂😂😂
Ghanaian companies should invest in building ATS with automation tools. Nothing  cannot do with Noti… ," Thanks for this, idolo.I'm highly honoured 🥺🤲🏾."
  Maybe  missed the context 😉 It’s a combination of the companies your “searchers” are from… ,  👌
  That’s only one possibility. The person searching may not even be a recruiter. The most useful part… ,  So essentially it works just like SEO?Would you agree?
  That’s only one possibility. The person searching may not even be a recruiter. The most useful part… ,  Exactly my point. This is why search results cannot solely be relied upon to reach out to a recruiter. Our response was in regards to Amos' interpretation of your advice given during Twitter Spaces. I search for keywords myself quite often on LinkedIn but it's rarely to recruit.
 😆, 😀
   Fair point. What I meant by zero is that it is something we chased actively. K… ,"   But again, how do we really define something falling onto someone's lap? I think it's a perception issue. It's like how some of us look at certain celebrities and feel like their success came overnight when in fact it took many years. Everyone is hustling to some degree."
   Trust fuels networks. Competence and Character fuels trust. These two are the… ,"    Even if they've got network, ebi cocoa farmers Association, meanwhile nigaa has got big vision"
